play_id,game_id,drive_id,home_team,away_team,posteam,defteam,yardline_100,game_date,qtr,quarter_seconds_remaining,ydstogo,yards_gained,ydsnet,down,play_type,total_home_score,total_away_score,posteam_score,defteam_score,score_differential,field_goal_result,kick_distance,kicker_player_name,kicker_player_id
522,2009091000,4-2009091000,PIT,TEN,TEN,PIT,19,2009-09-10,1,408,7,0,70,4,field_goal,0,0,0,0,0,missed,37,R.Bironas,00-0020962
1633,2009091000,10-2009091000,PIT,TEN,TEN,PIT,13,2009-09-10,2,142,6,0,60,4,field_goal,0,0,0,0,0,blocked,31,R.Bironas,00-0020962
3179,2009091000,20-2009091000,PIT,TEN,TEN,PIT,27,2009-09-10,4,668,3,0,36,4,field_goal,7,10,7,7,0,made,45,R.Bironas,00-0020962
3527,2009091000,21-2009091000,PIT,TEN,PIT,TEN,14,2009-09-10,4,180,6,0,56,4,field_goal,10,10,7,10,-3,made,32,J.Reed,00-0020737
213,2009091304,1-2009091304,CLE,MIN,CLE,MIN,20,2009-09-13,1,693,8,0,31,4,field_goal,3,0,0,0,0,made,37,P.Dawson,00-0004091
706,2009091304,4-2009091304,CLE,MIN,MIN,CLE,3,2009-09-13,1,6,3,0,46,4,field_goal,3,3,0,3,-3,made,21,R.Longwell,00-0010072
1369,2009091304,7-2009091304,CLE,MIN,CLE,MIN,2,2009-09-13,2,360,2,0,73,4,field_goal,6,10,3,10,-7,made,20,P.Dawson,00-0004091
3279,2009091304,19-2009091304,CLE,MIN,MIN,CLE,20,2009-09-13,4,419,18,0,14,4,field_goal,12,27,24,12,12,made,37,R.Longwell,00-0010072
574,2009091307,4-2009091307,NO,DET,DET,NO,29,2009-09-13,1,318,5,0,51,4,field_goal,14,3,0,14,-14,made,47,J.Hanson,00-0006800
2895,2009091307,19-2009091307,NO,DET,NO,DET,20,2009-09-13,3,375,2,0,64,4,field_goal,31,17,28,17,11,made,39,J.Carney,00-0002655
3070,2009091307,20-2009091307,NO,DET,DET,NO,6,2009-09-13,3,206,6,0,6,4,field_goal,31,20,17,31,-14,made,24,J.Hanson,00-0006800
252,2009091308,1-2009091308,TB,DAL,DAL,TB,33,2009-09-13,1,582,17,0,31,4,field_goal,0,3,0,0,0,made,51,N.Folk,00-0025565
498,2009091308,2-2009091308,TB,DAL,TB,DAL,20,2009-09-13,1,279,10,0,60,4,field_goal,0,3,0,3,-3,blocked,38,M.Nugent,00-0023482
681,2009091308,3-2009091308,TB,DAL,DAL,TB,4,2009-09-13,1,87,4,0,44,4,field_goal,0,6,3,0,3,made,22,N.Folk,00-0025565
1077,2009091306,4-2009091306,IND,JAC,JAC,IND,6,2009-09-13,2,542,6,0,59,4,field_goal,0,3,0,0,0,made,24,J.Scobee,00-0022874
1629,2009091306,6-2009091306,IND,JAC,JAC,IND,28,2009-09-13,2,64,6,0,41,4,field_goal,7,6,3,7,-4,made,46,J.Scobee,00-0022874
2706,2009091306,14-2009091306,IND,JAC,IND,JAC,34,2009-09-13,3,102,10,0,0,4,field_goal,14,6,14,6,8,missed,52,A.Vinatieri,00-0016919
2792,2009091303,17-2009091303,CIN,DEN,DEN,CIN,32,2009-09-13,3,19,5,0,34,4,field_goal,0,6,3,0,3,made,50,M.Prater,00-0023853
871,2009091302,4-2009091302,CAR,PHI,PHI,CAR,31,2009-09-13,1,53,9,0,1,4,field_goal,7,3,0,7,-7,made,49,D.Akers,00-0000108
2088,2009091302,11-2009091302,CAR,PHI,CAR,PHI,4,2009-09-13,2,105,4,0,56,4,field_goal,10,29,7,29,-22,made,22,J.Kasay,00-0009028
3762,2009091302,24-2009091302,CAR,PHI,PHI,CAR,33,2009-09-13,4,477,14,0,9,4,field_goal,10,36,36,10,26,blocked,51,D.Akers,00-0000108
365,2009091301,2-2009091301,BAL,KC,BAL,KC,26,2009-09-13,1,623,12,0,54,4,field_goal,3,0,0,0,0,made,44,S.Hauschka,00-0025944
1696,2009091301,9-2009091301,BAL,KC,BAL,KC,23,2009-09-13,2,234,4,0,58,4,field_goal,10,6,10,6,4,missed,41,S.Hauschka,00-0025944
3029,2009091301,16-2009091301,BAL,KC,KC,BAL,35,2009-09-13,4,722,11,0,55,4,field_goal,17,16,13,17,-4,made,53,R.Succop,00-0026968
352,2009091300,1-2009091300,ATL,MIA,ATL,MIA,24,2009-09-13,1,571,6,0,47,4,field_goal,0,0,0,0,0,missed,42,J.Elam,00-0004811
1792,2009091300,9-2009091300,ATL,MIA,ATL,MIA,18,2009-09-13,2,36,8,0,13,4,field_goal,10,0,7,0,7,made,36,J.Elam,00-0004811
2832,2009091300,18-2009091300,ATL,MIA,ATL,MIA,20,2009-09-13,4,745,15,0,18,4,field_goal,16,0,16,0,16,missed,38,J.Elam,00-0004811
3107,2009091300,20-2009091300,ATL,MIA,ATL,MIA,31,2009-09-13,4,458,5,0,38,4,field_goal,19,0,16,0,16,made,50,J.Elam,00-0004811
595,2009091309,4-2009091309,ARI,SF,SF,ARI,19,2009-09-13,1,334,6,0,17,4,field_goal,0,3,0,0,0,made,37,J.Nedney,00-0011970
1049,2009091309,6-2009091309,ARI,SF,SF,ARI,32,2009-09-13,1,88,18,0,12,4,field_goal,0,6,3,0,3,made,50,J.Nedney,00-0011970
1277,2009091309,7-2009091309,ARI,SF,ARI,SF,26,2009-09-13,2,848,8,0,52,4,field_goal,3,6,0,6,-6,made,44,N.Rackers,00-0019676
3419,2009091309,21-2009091309,ARI,SF,ARI,SF,25,2009-09-13,4,897,9,0,36,4,field_goal,16,13,13,13,0,made,43,N.Rackers,00-0019676
1306,2009091311,9-2009091311,SEA,STL,STL,SEA,19,2009-09-13,2,725,11,0,48,4,field_goal,0,0,0,0,0,missed,37,Josh.Brown,00-0021940
334,2009091310,1-2009091310,NYG,WAS,NYG,WAS,11,2009-09-13,1,465,1,0,67,4,field_goal,3,0,0,0,0,made,28,L.Tynes,00-0019778
2512,2009091310,15-2009091310,NYG,WAS,WAS,NYG,9,2009-09-13,3,56,8,0,2,4,field_goal,16,10,7,16,-9,made,27,S.Suisham,00-0023001
2807,2009091310,16-2009091310,NYG,WAS,NYG,WAS,27,2009-09-13,4,668,3,0,44,4,field_goal,19,10,16,10,6,made,45,L.Tynes,00-0019778
3238,2009091310,18-2009091310,NYG,WAS,NYG,WAS,10,2009-09-13,4,202,7,0,66,4,field_goal,22,10,19,10,9,made,28,L.Tynes,00-0019778
