play_id,game_id,drive_id,home_team,away_team,posteam,defteam,yardline_100,game_date,qtr,quarter_seconds_remaining,ydstogo,yards_gained,ydsnet,down,play_type,total_home_score,total_away_score,posteam_score,defteam_score,score_differential,fourth_down_converted,fourth_down_failed,fourth_down_result
3611,2009091304,22-2009091304,CLE,MIN,CLE,MIN,64,2009-09-13,4,292,10,0,17,4,pass,12,34,12,34,-22,0,1,failed
1037,2009091307,8-2009091307,NO,DET,DET,NO,4,2009-09-13,2,851,1,4,13,4,run,14,9,3,14,-11,1,0,good
3909,2009091307,25-2009091307,NO,DET,DET,NO,64,2009-09-13,4,378,1,14,33,4,pass,45,26,26,45,-19,1,0,good
3307,2009091308,19-2009091308,TB,DAL,TB,DAL,26,2009-09-13,4,464,7,0,43,4,pass,14,27,14,27,-13,0,1,failed
3774,2009091308,21-2009091308,TB,DAL,TB,DAL,2,2009-09-13,4,91,2,2,72,4,pass,20,34,14,34,-20,1,0,good
1918,2009091305,10-2009091305,HOU,NYJ,NYJ,HOU,43,2009-09-13,2,2,2,25,33,4,pass,0,10,10,0,10,1,0,good
2639,2009091305,14-2009091305,HOU,NYJ,HOU,NYJ,51,2009-09-13,3,217,2,0,35,4,pass,0,17,0,17,-17,0,1,failed
3713,2009091305,20-2009091305,HOU,NYJ,NYJ,HOU,29,2009-09-13,4,120,1,2,61,4,run,6,24,24,6,18,1,0,good
1772,2009091306,7-2009091306,IND,JAC,IND,JAC,54,2009-09-13,2,8,1,0,9,4,pass,7,6,7,6,1,0,1,failed
2979,2009091306,15-2009091306,IND,JAC,JAC,IND,7,2009-09-13,4,672,2,7,58,4,run,14,12,6,14,-8,1,0,good
3470,2009091306,18-2009091306,IND,JAC,IND,JAC,35,2009-09-13,4,126,1,0,32,4,run,14,12,14,12,2,0,1,failed
3580,2009091306,19-2009091306,IND,JAC,JAC,IND,63,2009-09-13,4,83,8,0,2,4,pass,14,12,12,14,-2,0,1,failed
623,2009091303,4-2009091303,CIN,DEN,CIN,DEN,42,2009-09-13,1,316,2,5,6,4,run,0,0,0,0,0,1,0,good
742,2009091303,4-2009091303,CIN,DEN,CIN,DEN,10,2009-09-13,1,111,2,0,6,4,run,0,0,0,0,0,0,1,failed
369,2009091302,1-2009091302,CAR,PHI,CAR,PHI,2,2009-09-13,1,495,1,1,69,4,run,0,0,0,0,0,1,0,good
3642,2009091302,24-2009091302,CAR,PHI,PHI,CAR,35,2009-09-13,4,644,3,6,13,4,pass,10,36,36,10,26,1,0,good
3977,2009091302,26-2009091302,CAR,PHI,PHI,CAR,38,2009-09-13,4,264,1,-9,0,4,pass,10,36,36,10,26,0,1,failed
4149,2009091302,27-2009091302,CAR,PHI,CAR,PHI,27,2009-09-13,4,120,1,9,35,4,pass,10,36,10,36,-26,1,0,good
4319,2009091302,27-2009091302,CAR,PHI,CAR,PHI,1,2009-09-13,4,39,1,-1,51,4,run,10,36,10,36,-26,0,1,failed
1935,2009091301,10-2009091301,BAL,KC,KC,BAL,48,2009-09-13,2,1,9,20,41,4,pass,10,6,6,10,-4,1,0,good
3916,2009091301,20-2009091301,BAL,KC,KC,BAL,87,2009-09-13,4,99,18,-4,-12,4,pass,31,23,23,31,-8,0,1,failed
4071,2009091301,21-2009091301,BAL,KC,BAL,KC,1,2009-09-13,4,36,1,1,9,4,run,37,23,31,23,8,1,0,good
3451,2009091300,21-2009091300,ATL,MIA,MIA,ATL,15,2009-09-13,4,250,4,6,67,4,pass,19,0,0,19,-19,1,0,good
4326,2009091309,25-2009091309,ARI,SF,ARI,SF,33,2009-09-13,4,115,5,0,5,4,pass,16,20,16,20,-4,0,1,failed
3722,2009091311,23-2009091311,SEA,STL,STL,SEA,7,2009-09-13,4,130,7,0,81,4,pass,28,0,0,28,-28,0,1,failed
729,2009091310,3-2009091310,NYG,WAS,NYG,WAS,3,2009-09-13,2,900,1,0,77,4,run,3,0,3,0,3,0,1,failed
1649,2009091310,9-2009091310,NYG,WAS,WAS,NYG,8,2009-09-13,2,33,8,8,77,4,run,16,6,0,16,-16,1,0,good
2026,2009091312,16-2009091312,GB,CHI,CHI,GB,49,2009-09-13,2,4,14,0,10,4,pass,10,2,2,10,-8,0,1,failed
2280,2009091312,17-2009091312,GB,CHI,CHI,GB,37,2009-09-13,3,660,1,1,43,4,run,10,2,2,10,-8,1,0,good
3028,2009091312,21-2009091312,GB,CHI,CHI,GB,74,2009-09-13,4,763,11,4,3,4,run,10,12,12,10,2,0,1,failed
146,2009091400,1-2009091400,NE,BUF,NE,BUF,40,2009-09-14,1,819,1,0,9,4,run,0,0,0,0,0,0,1,failed
2557,2009091400,12-2009091400,NE,BUF,NE,BUF,36,2009-09-14,3,360,2,0,61,4,pass,10,13,10,13,-3,0,1,failed
4111,2009091400,19-2009091400,NE,BUF,BUF,NE,70,2009-09-14,4,1,20,30,35,4,pass,25,23,23,25,-2,1,0,good
3866,2009091401,20-2009091401,OAK,SD,OAK,SD,57,2009-09-14,4,161,14,57,71,4,pass,19,17,13,17,-4,1,0,good
2472,2009092000,12-2009092000,ATL,CAR,ATL,CAR,15,2009-09-20,3,536,1,2,67,4,run,21,13,21,13,8,1,0,good
2873,2009092000,14-2009092000,ATL,CAR,ATL,CAR,21,2009-09-20,3,73,1,1,27,4,run,21,13,21,13,8,1,0,good
3799,2009092000,17-2009092000,ATL,CAR,CAR,ATL,17,2009-09-20,4,164,10,0,51,4,pass,28,20,20,28,-8,0,1,failed
408,2009092001,2-2009092001,DET,MIN,DET,MIN,21,2009-09-20,1,426,1,4,35,4,run,0,0,0,0,0,1,0,good
3428,2009092001,21-2009092001,DET,MIN,DET,MIN,58,2009-09-20,4,267,7,12,28,4,pass,10,27,10,27,-17,1,0,good
3784,2009092001,22-2009092001,DET,MIN,MIN,DET,25,2009-09-20,4,138,2,14,22,4,pass,13,27,27,13,14,1,0,good
3444,2009092008,14-2009092008,WAS,STL,WAS,STL,20,2009-09-20,4,227,1,9,69,4,run,9,7,9,7,2,1,0,good
3567,2009092008,14-2009092008,WAS,STL,WAS,STL,2,2009-09-20,4,120,1,-2,76,4,run,9,7,9,7,2,0,1,failed
3654,2009092008,15-2009092008,WAS,STL,STL,WAS,96,2009-09-20,4,100,10,0,0,4,pass,9,7,7,9,-2,0,1,failed
3080,2009092007,19-2009092007,TEN,HOU,HOU,TEN,37,2009-09-20,3,252,2,4,32,4,pass,31,24,24,31,-7,1,0,good
3781,2009092007,22-2009092007,TEN,HOU,TEN,HOU,33,2009-09-20,4,629,6,0,40,4,pass,31,31,31,31,0,0,1,failed
4103,2009092007,25-2009092007,TEN,HOU,HOU,TEN,15,2009-09-20,4,316,1,2,55,4,run,31,31,31,31,0,1,0,good
3268,2009092006,19-2009092006,PHI,NO,PHI,NO,3,2009-09-20,3,34,3,3,35,4,pass,19,34,13,34,-21,1,0,good
4054,2009092006,23-2009092006,PHI,NO,PHI,NO,5,2009-09-20,4,317,5,0,76,4,pass,20,41,20,41,-21,0,1,failed
4217,2009092006,24-2009092006,PHI,NO,NO,PHI,99,2009-09-20,4,221,14,-1,-5,4,run,22,41,41,20,21,0,1,failed
4160,2009092005,22-2009092005,NYJ,NE,NE,NYJ,72,2009-09-20,4,66,10,0,18,4,pass,16,9,9,16,-7,0,1,failed
587,2009092004,4-2009092004,KC,OAK,KC,OAK,39,2009-09-20,1,381,2,3,43,4,run,0,0,0,0,0,1,0,good
1962,2009092004,10-2009092004,KC,OAK,KC,OAK,27,2009-09-20,2,44,1,3,47,4,run,3,3,3,3,0,1,0,good
4080,2009092004,21-2009092004,KC,OAK,KC,OAK,74,2009-09-20,4,36,4,0,6,4,pass,10,13,10,13,-3,0,1,failed
1504,2009092003,7-2009092003,JAC,ARI,ARI,JAC,44,2009-09-20,2,309,1,3,30,4,pass,3,16,16,3,13,1,0,good
3619,2009092003,18-2009092003,JAC,ARI,JAC,ARI,19,2009-09-20,4,439,10,19,85,4,pass,16,30,10,30,-20,1,0,good
3903,2009092003,20-2009092003,JAC,ARI,JAC,ARI,31,2009-09-20,4,269,13,0,31,4,pass,17,30,17,30,-13,0,1,failed
3891,2009092010,22-2009092010,SF,SEA,SEA,SF,62,2009-09-20,4,217,13,22,30,4,pass,23,10,10,23,-13,1,0,good
4113,2009092010,22-2009092010,SF,SEA,SEA,SF,18,2009-09-20,4,137,15,0,52,4,pass,23,10,10,23,-13,0,1,failed
1262,2009092009,7-2009092009,BUF,TB,BUF,TB,64,2009-09-20,2,675,1,2,26,4,run,16,7,16,7,9,1,0,good
3040,2009092009,17-2009092009,BUF,TB,TB,BUF,43,2009-09-20,3,301,1,-1,25,4,run,19,14,14,19,-5,0,1,failed
4258,2009092009,23-2009092009,BUF,TB,TB,BUF,43,2009-09-20,4,411,10,38,75,4,pass,29,14,14,29,-15,1,0,good
4400,2009092009,23-2009092009,BUF,TB,TB,BUF,6,2009-09-20,4,332,6,6,80,4,pass,29,20,14,29,-15,1,0,good
4780,2009092009,25-2009092009,BUF,TB,TB,BUF,53,2009-09-20,4,66,6,11,30,4,pass,32,20,20,32,-12,1,0,good
2075,2009092013,11-2009092013,SD,BAL,SD,BAL,34,2009-09-20,2,38,2,9,17,4,pass,13,21,13,21,-8,1,0,good
4209,2009092013,22-2009092013,SD,BAL,SD,BAL,15,2009-09-20,4,37,2,-5,53,4,run,26,31,26,31,-5,0,1,failed
3704,2009092012,22-2009092012,DEN,CLE,DEN,CLE,32,2009-09-20,4,113,3,0,37,4,run,27,6,27,6,21,0,1,failed
460,2009092011,2-2009092011,CHI,PIT,PIT,CHI,1,2009-09-20,1,302,1,1,92,4,pass,0,6,0,0,0,1,0,good
3755,2009092100,16-2009092100,MIA,IND,MIA,IND,42,2009-09-21,4,22,10,12,52,4,pass,23,27,23,27,-4,1,0,good
267,2009092700,2-2009092700,BAL,CLE,BAL,CLE,9,2009-09-27,1,645,1,2,31,4,run,0,0,0,0,0,1,0,good
1471,2009092711,10-2009092711,NYJ,TEN,TEN,NYJ,33,2009-09-27,2,291,7,0,37,4,pass,14,7,7,14,-7,0,1,failed
4078,2009092711,31-2009092711,NYJ,TEN,TEN,NYJ,67,2009-09-27,4,114,23,0,-1,4,pass,24,17,17,24,-7,0,1,failed
547,2009092702,2-2009092702,DET,WAS,WAS,DET,1,2009-09-27,1,434,1,0,75,4,run,0,0,0,0,0,0,1,failed
4353,2009092702,20-2009092702,DET,WAS,WAS,DET,36,2009-09-27,4,8,10,13,55,4,pass,19,14,14,19,-5,1,0,good
1816,2009092703,11-2009092703,HOU,JAC,HOU,JAC,16,2009-09-27,2,67,1,11,61,4,run,14,17,14,17,-3,1,0,good
2898,2009092703,15-2009092703,HOU,JAC,JAC,HOU,12,2009-09-27,4,900,1,4,79,4,run,24,24,24,24,0,1,0,good
1438,2009092704,9-2009092704,MIN,SF,SF,MIN,36,2009-09-27,2,590,1,25,52,4,pass,10,0,0,10,-10,1,0,good
4042,2009092704,25-2009092704,MIN,SF,MIN,SF,47,2009-09-27,4,115,5,0,25,4,pass,20,23,20,23,-3,0,1,failed
1241,2009092705,5-2009092705,NE,ATL,ATL,NE,34,2009-09-27,2,626,3,7,32,4,pass,10,3,3,10,-7,1,0,good
2656,2009092705,12-2009092705,NE,ATL,NE,ATL,76,2009-09-27,3,319,1,2,11,4,run,16,10,16,10,6,1,0,good
2852,2009092705,12-2009092705,NE,ATL,NE,ATL,37,2009-09-27,3,55,3,21,69,4,pass,16,10,16,10,6,1,0,good
3871,2009092705,18-2009092705,NE,ATL,NE,ATL,33,2009-09-27,4,120,1,8,53,4,pass,26,10,26,10,16,1,0,good
2985,2009092708,19-2009092708,TB,NYG,TB,NYG,28,2009-09-27,4,445,3,8,56,4,pass,0,24,0,24,-24,1,0,good
3104,2009092708,19-2009092708,TB,NYG,TB,NYG,5,2009-09-27,4,360,5,0,71,4,pass,0,24,0,24,-24,0,1,failed
1158,2009092706,7-2009092706,PHI,KC,PHI,KC,44,2009-09-27,2,718,1,0,26,4,pass,14,0,14,0,14,0,1,failed
2639,2009092706,15-2009092706,PHI,KC,KC,PHI,60,2009-09-27,3,403,2,4,23,4,run,27,7,7,27,-20,1,0,good
3621,2009092706,23-2009092706,PHI,KC,KC,PHI,17,2009-09-27,4,147,7,8,11,4,pass,34,7,7,34,-27,1,0,good
2332,2009092707,14-2009092707,STL,GB,STL,GB,44,2009-09-27,3,625,1,2,39,4,run,14,23,14,23,-9,1,0,good
3885,2009092707,24-2009092707,STL,GB,STL,GB,31,2009-09-27,4,153,5,0,44,4,pass,17,36,17,36,-19,0,1,failed
823,2009092709,3-2009092709,BUF,NO,NO,BUF,28,2009-09-27,1,202,2,0,47,4,pass,0,7,7,0,7,0,1,failed
1096,2009092709,4-2009092709,BUF,NO,BUF,NO,25,2009-09-27,2,896,6,25,72,4,pass,6,7,0,7,-7,1,0,good
2735,2009092709,14-2009092709,BUF,NO,NO,BUF,55,2009-09-27,3,559,1,2,44,4,run,7,10,10,7,3,1,0,good
4333,2009092709,23-2009092709,BUF,NO,BUF,NO,86,2009-09-27,4,145,23,12,-1,4,pass,7,20,7,20,-13,0,1,failed
1805,2009092710,9-2009092710,SEA,CHI,CHI,SEA,1,2009-09-27,2,120,1,1,66,4,pass,13,6,0,13,-13,1,0,good
4098,2009092710,24-2009092710,SEA,CHI,SEA,CHI,43,2009-09-27,4,52,1,6,43,4,pass,19,25,19,25,-6,1,0,good
4209,2009092710,24-2009092710,SEA,CHI,SEA,CHI,29,2009-09-27,4,30,2,0,51,4,pass,19,25,19,25,-6,0,1,failed
1672,2009092701,8-2009092701,CIN,PIT,PIT,CIN,35,2009-09-27,2,75,4,0,51,4,pass,0,13,13,0,13,0,1,failed
2682,2009092701,14-2009092701,CIN,PIT,CIN,PIT,62,2009-09-27,3,92,3,21,35,4,run,9,20,9,20,-11,1,0,good
3532,2009092701,18-2009092701,CIN,PIT,CIN,PIT,20,2009-09-27,4,60,2,5,56,4,pass,15,20,15,20,-5,1,0,good
3660,2009092701,18-2009092701,CIN,PIT,CIN,PIT,15,2009-09-27,4,36,10,11,67,4,pass,15,20,15,20,-5,1,0,good
3418,2009092713,17-2009092713,SD,MIA,MIA,SD,59,2009-09-27,4,244,4,12,29,4,pass,22,6,6,22,-16,1,0,good
3811,2009092713,18-2009092713,SD,MIA,SD,MIA,4,2009-09-27,4,35,4,2,34,4,run,22,13,22,13,9,0,1,failed
465,2009092712,2-2009092712,OAK,DEN,DEN,OAK,1,2009-09-27,1,316,1,0,68,4,run,0,0,0,0,0,0,1,failed
2128,2009092712,11-2009092712,OAK,DEN,OAK,DEN,51,2009-09-27,3,502,1,1,20,4,run,3,20,3,20,-17,1,0,good
3440,2009092712,19-2009092712,OAK,DEN,OAK,DEN,56,2009-09-27,4,209,5,0,20,4,pass,3,23,3,23,-20,0,1,failed
3561,2009092712,20-2009092712,OAK,DEN,DEN,OAK,35,2009-09-27,4,112,1,17,26,4,pass,3,23,23,3,20,1,0,good
3997,2009092714,24-2009092714,ARI,IND,ARI,IND,27,2009-09-27,4,428,1,10,36,4,pass,10,31,10,31,-21,1,0,good
4110,2009092714,24-2009092714,ARI,IND,ARI,IND,22,2009-09-27,4,390,15,-28,3,4,pass,10,31,10,31,-21,0,1,failed
4246,2009092714,25-2009092714,ARI,IND,IND,ARI,32,2009-09-27,4,199,8,17,35,4,pass,10,31,31,10,21,1,0,good
4359,2009092714,25-2009092714,ARI,IND,IND,ARI,18,2009-09-27,4,31,13,-4,28,4,run,10,31,31,10,21,0,1,failed
3824,2009092800,20-2009092800,DAL,CAR,CAR,DAL,40,2009-09-28,4,120,6,7,47,4,pass,19,7,7,19,-12,1,0,good
1444,2009100400,8-2009100400,CHI,DET,CHI,DET,1,2009-10-04,2,659,1,1,8,4,pass,20,14,14,14,0,1,0,good
4112,2009100400,24-2009100400,CHI,DET,DET,CHI,52,2009-10-04,4,317,6,0,24,4,pass,41,24,24,41,-17,0,1,failed
609,2009100401,3-2009100401,CLE,CIN,CIN,CLE,35,2009-10-04,1,239,3,10,37,4,run,0,0,0,0,0,1,0,good
2796,2009100401,16-2009100401,CLE,CIN,CLE,CIN,1,2009-10-04,3,104,1,1,77,4,run,13,13,7,13,-6,1,0,good
3670,2009100401,23-2009100401,CLE,CIN,CIN,CLE,2,2009-10-04,4,122,2,2,70,4,pass,20,19,13,20,-7,1,0,good
5029,2009100401,32-2009100401,CLE,CIN,CIN,CLE,41,2009-10-04,5,64,11,15,67,4,run,20,19,19,20,-1,1,0,good
1734,2009100402,12-2009100402,HOU,OAK,OAK,HOU,35,2009-10-04,2,231,9,19,63,4,pass,20,3,3,20,-17,1,0,good
3267,2009100402,25-2009100402,HOU,OAK,OAK,HOU,35,2009-10-04,4,766,7,0,18,4,pass,29,6,6,29,-23,0,1,failed
3891,2009100403,19-2009100403,IND,SEA,SEA,IND,26,2009-10-04,4,226,2,12,56,4,pass,34,3,3,34,-31,1,0,good
3768,2009100404,22-2009100404,JAC,TEN,TEN,JAC,10,2009-10-04,4,337,5,10,77,4,run,30,15,9,30,-21,1,0,good
4120,2009100404,24-2009100404,JAC,TEN,TEN,JAC,58,2009-10-04,4,231,3,0,22,4,pass,37,17,17,37,-20,0,1,failed
2146,2009100405,15-2009100405,KC,NYG,NYG,KC,35,2009-10-04,3,811,3,9,16,4,run,3,17,17,3,14,1,0,good
3142,2009100405,20-2009100405,KC,NYG,KC,NYG,30,2009-10-04,4,722,11,12,30,4,pass,3,27,3,27,-24,1,0,good
3273,2009100405,20-2009100405,KC,NYG,KC,NYG,19,2009-10-04,4,648,11,11,40,4,pass,3,27,3,27,-24,1,0,good
3897,2009100405,22-2009100405,KC,NYG,KC,NYG,2,2009-10-04,4,301,2,2,59,4,pass,15,27,9,27,-18,1,0,good
4212,2009100405,24-2009100405,KC,NYG,KC,NYG,85,2009-10-04,4,156,27,10,5,4,pass,16,27,16,27,-11,0,1,failed
4336,2009100405,25-2009100405,KC,NYG,NYG,KC,21,2009-10-04,4,22,6,3,7,4,run,16,27,27,16,11,0,1,failed
956,2009100406,4-2009100406,NE,BAL,NE,BAL,3,2009-10-04,1,27,1,2,75,4,run,3,7,3,7,-4,1,0,good
3682,2009100406,17-2009100406,NE,BAL,BAL,NE,55,2009-10-04,4,317,1,0,9,4,run,27,20,20,27,-7,0,1,failed
4101,2009100406,19-2009100406,NE,BAL,BAL,NE,14,2009-10-04,4,32,4,0,66,4,pass,27,20,20,27,-7,0,1,failed
882,2009100407,7-2009100407,WAS,TB,WAS,TB,37,2009-10-04,1,67,4,0,23,4,pass,0,7,0,7,-7,0,1,failed
2441,2009100407,16-2009100407,WAS,TB,WAS,TB,36,2009-10-04,3,370,2,12,45,4,pass,3,10,3,10,-7,1,0,good
