play_id,game_id,drive_id,home_team,away_team,posteam,defteam,yardline_100,game_date,qtr,quarter_seconds_remaining,ydstogo,yards_gained,ydsnet,down,play_type,total_home_score,total_away_score,posteam_score,defteam_score,score_differential,field_goal_result,kick_distance,kicker_player_name,kicker_player_id,punt_blocked
139,2009091000,1-2009091000,PIT,TEN,PIT,TEN,56,2009-09-10,1,807,8,0,2,4,punt,0,0,0,0,0,NA,54,NA,NA,0
228,2009091000,2-2009091000,PIT,TEN,TEN,PIT,96,2009-09-10,1,694,8,0,2,4,punt,0,0,0,0,0,NA,50,NA,NA,0
365,2009091000,3-2009091000,PIT,TEN,PIT,TEN,41,2009-09-10,1,505,21,0,2,4,punt,0,0,0,0,0,NA,30,NA,NA,0
603,2009091000,5-2009091000,PIT,TEN,PIT,TEN,79,2009-09-10,1,302,16,0,-6,4,punt,0,0,0,0,0,NA,53,NA,NA,0
998,2009091000,8-2009091000,PIT,TEN,TEN,PIT,44,2009-09-10,2,793,22,0,0,4,punt,0,0,0,0,0,NA,39,NA,NA,0
1279,2009091000,9-2009091000,PIT,TEN,PIT,TEN,62,2009-09-10,2,445,5,0,33,4,punt,0,0,0,0,0,NA,46,NA,NA,0
2443,2009091000,15-2009091000,PIT,TEN,PIT,TEN,45,2009-09-10,3,612,1,0,9,4,punt,7,7,7,7,0,NA,38,NA,NA,0
2563,2009091000,16-2009091000,PIT,TEN,TEN,PIT,96,2009-09-10,3,489,11,0,-1,4,punt,7,7,7,7,0,NA,50,NA,NA,0
2713,2009091000,17-2009091000,PIT,TEN,PIT,TEN,43,2009-09-10,3,318,10,0,11,4,punt,7,7,7,7,0,NA,33,NA,NA,0
2911,2009091000,18-2009091000,PIT,TEN,TEN,PIT,71,2009-09-10,3,116,11,0,19,4,punt,7,7,7,7,0,NA,56,NA,NA,0
3016,2009091000,19-2009091000,PIT,TEN,PIT,TEN,77,2009-09-10,4,900,2,0,8,4,punt,7,7,7,7,0,NA,45,NA,NA,0
3698,2009091000,22-2009091000,PIT,TEN,TEN,PIT,70,2009-09-10,4,117,10,0,12,4,punt,10,10,10,10,0,NA,28,NA,NA,0
324,2009091304,2-2009091304,CLE,MIN,MIN,CLE,70,2009-09-13,1,573,10,0,0,4,punt,3,0,0,3,-3,NA,51,NA,NA,0
447,2009091304,3-2009091304,CLE,MIN,CLE,MIN,82,2009-09-13,1,425,14,0,-4,4,punt,3,0,3,0,3,NA,31,NA,NA,0
827,2009091304,5-2009091304,CLE,MIN,CLE,MIN,90,2009-09-13,2,791,14,0,-4,4,punt,3,3,3,3,0,NA,49,NA,NA,0
1468,2009091304,8-2009091304,CLE,MIN,MIN,CLE,71,2009-09-13,2,253,1,0,9,4,punt,6,10,10,6,4,NA,29,NA,NA,0
1577,2009091304,9-2009091304,CLE,MIN,CLE,MIN,53,2009-09-13,2,150,5,0,5,4,punt,6,10,6,10,-4,NA,38,NA,NA,0
1695,2009091304,10-2009091304,CLE,MIN,MIN,CLE,81,2009-09-13,2,106,6,0,4,4,punt,12,10,10,6,4,NA,48,NA,NA,0
1842,2009091304,11-2009091304,CLE,MIN,MIN,CLE,66,2009-09-13,2,71,2,0,8,4,punt,12,10,10,12,-2,NA,27,NA,NA,0
2893,2009091304,16-2009091304,CLE,MIN,CLE,MIN,51,2009-09-13,4,803,13,0,30,4,punt,12,24,12,24,-12,NA,39,NA,NA,0
2998,2009091304,17-2009091304,CLE,MIN,MIN,CLE,72,2009-09-13,4,715,6,0,16,4,punt,12,24,24,12,12,NA,42,NA,NA,0
3411,2009091304,20-2009091304,CLE,MIN,CLE,MIN,71,2009-09-13,4,381,7,0,3,4,punt,12,27,12,27,-15,NA,53,NA,NA,0
3712,2009091304,23-2009091304,CLE,MIN,MIN,CLE,35,2009-09-13,4,192,9,0,1,4,punt,12,34,34,12,22,NA,NA,NA,NA,0
270,2009091307,2-2009091307,NO,DET,DET,NO,75,2009-09-13,1,651,5,0,5,4,punt,7,0,0,7,-7,NA,28,NA,NA,0
