game_id,total_home_score,total_away_score,score_differential2
2009091000,13,10,3
2009091300,19,7,12
2009091301,38,23,15
2009091302,10,36,-26
2009091303,7,12,-5
2009091304,19,34,-15
2009091305,6,24,-18
2009091306,14,12,2
2009091307,45,26,19
2009091308,21,34,-13
2009091309,16,20,-4
2009091310,22,17,5
2009091311,28,0,28
2009091312,21,15,6
2009091400,25,23,2
2009091401,20,24,-4
2009092000,28,20,8
2009092001,13,27,-14
2009092002,23,31,-8
2009092003,17,30,-13
2009092004,10,13,-3
2009092005,16,9,7
2009092006,22,47,-25
2009092007,31,34,-3
2009092008,9,7,2
2009092009,32,20,12
2009092010,23,10,13
2009092011,17,14,3
2009092012,27,6,21
2009092013,26,31,-5
2009092014,31,32,-1
2009092100,23,27,-4
2009092700,34,3,31
2009092701,23,20,3
2009092702,19,14,5
2009092703,24,31,-7
2009092704,27,23,4
2009092705,26,10,16
2009092706,34,14,20
2009092707,17,36,-19
2009092708,0,24,-24
2009092709,7,27,-20
2009092710,19,25,-6
2009092711,24,17,7
2009092712,3,23,-20
2009092713,22,13,9
2009092714,10,31,-21
2009092800,19,7,12
2009100400,48,24,24
2009100401,20,22,-2
2009100402,29,6,23
2009100403,34,17,17
2009100404,37,17,20
2009100405,16,27,-11
2009100406,27,20,7
2009100407,16,13,3
2009100408,37,10,27
2009100409,22,10,12
2009100410,17,10,7
2009100411,32,0,32
2009100412,38,27,11
2009100500,30,22,8
2009101100,13,17,-4
2009101101,3,6,-3
2009101102,20,17,3
2009101103,19,28,-9
2009101104,20,26,-6
2009101105,44,7,37
2009101106,33,14,19
2009101107,10,37,-27
2009101108,10,45,-35
2009101109,27,21,6
2009101110,20,17,3
2009101111,40,0,40
2009101112,9,31,-22
2009101200,31,27,4
2009101800,17,28,-11
2009101801,26,0,26
2009101802,23,19,4
2009101803,33,31,2
2009101804,48,27,21
2009101805,27,14,13
2009101806,20,28,-8
2009101807,6,14,-8
2009101808,13,9,4
2009101809,3,27,-24
2009101810,59,0,59
2009101811,13,16,-3
2009101812,21,14,7
2009101900,22,33,-11
2009102500,45,10,35
2009102501,3,31,-28
2009102502,24,21,3
2009102503,7,36,-29
2009102504,25,17,8
2009102505,6,41,-35
2009102506,7,34,-27
2009102507,9,20,-11
2009102508,0,38,-38
2009102509,36,21,15
2009102510,34,45,-11
2009102511,17,24,-7
2009102600,17,26,-9
2009110100,30,7,23
2009110101,10,31,-21
2009110102,29,6,23
2009110103,37,17,20
2009110104,8,19,-11
2009110105,26,38,-12
2009110106,18,14,4
2009110107,25,29,-4
2009110108,24,16,8
2009110109,30,13,17
2009110110,21,33,-12
2009110111,40,17,23
2009110200,34,26,8
2009110800,30,17,13
2009110801,21,41,-20
2009110802,17,7,10
2009110803,20,17,3
2009110804,24,21,3
2009110805,27,17,10
2009110806,36,28,8
2009110807,29,20,9
2009110808,31,20,11
2009110809,20,21,-1
2009110810,27,33,-6
2009110811,16,20,-4
2009110900,9,27,-18
2009111200,10,6,4
2009111500,28,19,9
2009111501,25,23,2
2009111502,27,10,17
2009111503,22,24,-2
2009111504,12,18,-6
2009111505,23,28,-5
2009111506,39,17,22
2009111507,27,17,10
2009111508,10,16,-6
2009111509,31,20,11
2009111510,17,7,10
2009111511,31,23,8
2009111512,35,34,1
2009111600,0,16,-16
2009111900,17,24,-7
2009112200,15,17,-2
2009112201,7,6,1
2009112202,38,37,1
2009112203,30,24,6
2009112204,18,15,3
2009112205,27,24,3
2009112206,35,9,26
2009112207,34,31,3
2009112208,7,38,-31
2009112209,13,21,-8
2009112210,3,32,-29
2009112211,30,13,17
2009112212,20,17,3
2009112213,20,24,-4
2009112300,17,20,-3
2009112600,12,33,-21
2009112601,24,7,17
2009112602,26,6,20
2009112900,20,17,3
2009112901,31,14,17
2009112902,16,7,9
2009112903,27,34,-7
2009112904,36,10,26
2009112905,16,6,10
2009112906,27,24,3
2009112907,17,26,-9
2009112908,20,17,3
2009112909,42,14,28
2009112910,20,3,17
2009112911,20,17,3
2009113000,38,17,21
2009120300,13,19,-6
2009120600,7,33,-26
2009120601,16,6,10
2009120602,17,9,8
2009120603,22,13,9
2009120604,27,17,10
2009120605,23,18,5
2009120606,13,43,-30
2009120607,24,27,-3
2009120608,30,32,-2
2009120609,23,30,-7
2009120610,30,17,13
2009120611,30,24,6
2009120612,20,17,3
2009120613,22,21,1
2009120700,27,14,13
2009121000,13,6,7
2009121300,23,26,-3
2009121301,48,3,45
2009121302,14,21,-7
2009121303,33,7,26
2009121304,28,16,12
2009121305,10,14,-4
2009121306,10,16,-6
2009121307,30,10,20
2009121308,20,10,10
2009121309,3,26,-23
2009121310,46,7,39
2009121311,13,34,-21
2009121312,17,20,-3
2009121313,38,43,-5
2009121400,24,9,15
2009121700,31,35,-4
2009121900,17,24,-7
2009122000,31,6,25
2009122001,10,17,-7
2009122002,23,31,-8
2009122003,33,41,-8
2009122004,7,10,-3
2009122005,27,13,14
2009122006,37,36,1
2009122007,13,16,-3
2009122008,27,24,3
2009122009,19,20,-1
2009122010,27,24,3
2009122011,7,24,-17
2009122012,26,7,19
2009122100,12,44,-32
2009122500,17,42,-25
